	SeqID	Database	OrgGene	Gene	EValue	Bitscore	AlnLength
0	SEH51093;size=1;/1-460	FunGene	vnfD	vnfD	0.0	1042.0	460
1	CCD03004;size=1;/1-460	FunGene	vnfD	vnfD	0.0	1039.5	460
2	CAA36058;size=1;/1-460	FunGene	vnfD	vnfD	0.0	1044.5	460
3	ADP69796;size=1;/1-460	FunGene	vnfD	vnfD	0.0	1028.4	460
4	EXJ15821;size=1;/1-460	FunGene	vnfD	vnfD	0.0	1023.0	460
5	SFL38789;size=2;/1-460	FunGene	vnfD	vnfD	0.0	1047.2	460
6	SFX09986;size=5;/1-460	FunGene	vnfD	vnfD	0.0	1050.3	460
7	CAE26821;size=1;/1-460	FunGene	vnfD	vnfD	0.0	1046.0	460
8	OIQ93815;size=1;/1-460	FunGene	vnfD	vnfD	0.0	1042.2	460
9	OBQ03851;size=4;/1-460	FunGene	vnfD	vnfD	6.2e-306	1005.1	460
10	EKE99886;size=1;/1-460	FunGene	vnfD	vnfD	4.2e-305	1002.3	460
11	EKF04224;size=1;/1-460	FunGene	vnfD	vnfD	7.2e-305	1001.6	460
12	AHA37825;size=1;/1-460	FunGene	vnfD	vnfD	2.2e-302	993.4	460
13	AHA37824;size=1;/1-460	FunGene	vnfD	vnfD	4.2e-301	989.2	460
14	AKG34370;size=1;/1-460	FunGene	vnfD	vnfD	5.2e-300	985.5	460
15	EKQ52376;size=1;/1-460	FunGene	vnfD	vnfD	1.3e-287	944.7	459
16	BAH06671;size=2;/1-460	FunGene	vnfD	vnfD	1.4e-286	941.2	460
17	AKB51721;size=2;/1-460	FunGene	vnfD	vnfD	2.4e-286	940.5	460
18	OMH20013;size=6;/1-460	FunGene	vnfD	vnfD	3.7e-285	936.6	460
19	AKB48005;size=2;/1-460	FunGene	vnfD	vnfD	3.7e-285	936.6	460
20	AAF72180;size=1;/1-460	FunGene	vnfD	vnfD	4.2e-285	936.4	460
21	AKB81589;size=1;/1-460	FunGene	vnfD	vnfD	7e-285	935.7	460
22	AAM04635;size=1;/1-460	FunGene	vnfD	vnfD	2.8e-284	933.7	460
23	ETA66931.1|Methanolobus_tindarius_1	Zehr	nifH	nflH	4.1e-284	943.8	736
24	AGK98263;size=1;/1-460	FunGene	vnfD	vnfD	7.2e-283	929.0	460
25	ADU27824;size=1;/1-460	FunGene	vnfD	vnfD	5.7e-280	919.5	460
26	AGN26065.1|Candidatus_Methanomassiliicoccus_1	Zehr	nifH	nflH	6.600000000000001e-277	920.0	720
27	AAM05435.1|Methanosarcina_acetivorans_1	Zehr	nifH	nflH	3.6e-276	917.5	751
28	ADN36985.1|Methanoplanus_petrolearius_1	Zehr	nifH	nflH	3.0999999999999997e-275	914.5	751
29	AGI85899.1|Candidatus_Methanomethylophilus_1	Zehr	nifH	nflH	6.3e-262	870.4	717
30	CDF30912.1|Methanoculleus_sp._1	Zehr	nifH	nflH	3.6999999999999997e-261	867.9	717
31	AAZ71607.1|Methanosarcina_barkeri_1	Zehr	nifH	nflH	1.4000000000000001e-260	866.0	741
32	A7IBF5	FunGene	nifD	nifD	1.0000000000000001e-254	840.6	486
33	Q60C80	FunGene	nifD	nifD	2.7e-254	839.1	480
34	A5ENX1	FunGene	nifD	nifD	4.8e-254	838.3	489
35	A4VJ71	FunGene	nifD	nifD	1.1000000000000001e-253	837.1	489
36	EHP07423.1|Holophaga_foetida_1	Zehr	nifH	nflH	1.1000000000000001e-253	843.2	726
37	ACN13985.1|Desulfobacterium_autotrophicum_1	Zehr	nifH	nflH	1e-252	840.0	746
38	A8HQJ1	FunGene	nifD	nifD	1.3e-252	833.5	488
39	ZP_09716922.1|Treponema_primitia_1	Zehr	nifH	nflH	2e-252	839.1	720
40	B8EJ24	FunGene	nifD	nifD	5.2e-252	831.6	475
41	A4JRN8	FunGene	nifD	nifD	6.6e-252	831.2	480
42	C6P5Y2	FunGene	nifD	nifD	7.6e-252	831.0	482
43	A1VPS3	FunGene	nifD	nifD	8.2e-252	830.9	480
44	C5S6M4	FunGene	nifD	nifD	8.5e-252	830.9	477
45	C7DPA6	FunGene	nifD	nifD	4.2e-251	828.6	483
46	C5BTB1	FunGene	nifD	nifD	4.9e-251	828.4	491
47	P06121	FunGene	nifD	nifD	4.9999999999999995e-251	828.3	487
48	D0EJA7	FunGene	nifD	nifD	1e-250	827.3	487
49	A1K2V1	FunGene	nifD	nifD	2e-250	826.4	480
50	P06120	FunGene	nifD	nifD	2.8999999999999996e-250	825.8	484
51	B3DXX6	FunGene	nifD	nifD	3.2e-250	825.7	480
52	C6HVB1	FunGene	nifD	nifD	3.2e-250	825.7	479
53	C7RRG5	FunGene	nifD	nifD	3.2e-250	825.7	483
54	A9H5W5	FunGene	nifD	nifD	3.3e-250	825.6	487
55	Q6N0Z0	FunGene	nifD	nifD	3.5e-250	825.5	478
56	Q4VUB6	FunGene	nifD	nifD	8.3e-250	824.3	487
57	C7DP64	FunGene	nifD	nifD	9.8e-250	824.1	482
58	D0EJB0	FunGene	nifD	nifD	1.1000000000000001e-249	823.9	483
59	C7DPA3	FunGene	nifD	nifD	1.5e-249	823.4	488
60	C7DP73	FunGene	nifD	nifD	2.2000000000000002e-249	822.9	483
61	D0EJB1	FunGene	nifD	nifD	2.2000000000000002e-249	822.9	483
62	D0EJC0	FunGene	nifD	nifD	2.3000000000000003e-249	822.8	483
63	Q20Y01	FunGene	nifD	nifD	2.5000000000000004e-249	822.7	490
64	Q2RVN3	FunGene	nifD	nifD	2.8000000000000004e-249	822.6	476
65	Q8KIN7	FunGene	nifD	nifD	3.3000000000000005e-249	822.3	488
66	Q07HY2	FunGene	nifD	nifD	3.7000000000000003e-249	822.2	478
67	C7DP88	FunGene	nifD	nifD	4.4000000000000005e-249	821.9	486
68	BAE85651.1|Desulfitobacterium_hafniense_1	Zehr	nifH	nflH	4.600000000000001e-249	827.9	734
69	Q4VUC0	FunGene	nifD	nifD	4.9e-249	821.7	487
70	C7DP58	FunGene	nifD	nifD	5.8e-249	821.5	488
71	Q2J1I0	FunGene	nifD	nifD	6.200000000000001e-249	821.4	478
72	B1Y772	FunGene	nifD	nifD	6.5e-249	821.3	479
73	C7DP94	FunGene	nifD	nifD	8.200000000000001e-249	821.0	486
74	Q7X1F7	FunGene	nifD	nifD	8.900000000000001e-249	820.9	479
75	C7DP82	FunGene	nifD	nifD	9.200000000000001e-249	820.8	490
76	B0UAK3	FunGene	nifD	nifD	1e-248	820.7	488
77	B2IET3	FunGene	nifD	nifD	1.6e-248	820.0	478
78	D0EJC5	FunGene	nifD	nifD	2.6e-248	819.3	483
79	D0EJC3	FunGene	nifD	nifD	2.6e-248	819.4	482
80	Q8KJ97	FunGene	nifD	nifD	2.6e-248	819.4	487
81	P19066	FunGene	nifD	nifD	4.1e-248	818.7	490
82	C7DP85	FunGene	nifD	nifD	4.9000000000000005e-248	818.5	486
83	AGI48130.1|Thermoplasmatales_archaeon_1	Zehr	nifH	nflH	5e-248	824.5	702
84	B7KG75	FunGene	nifD	nifD	5.900000000000001e-248	818.2	479
85	EHO85899.1|Eubacterium_infirmum_1	Zehr	nifH	nflH	7e-248	824.0	739
86	P07328	FunGene	nifD	nifD	7.200000000000001e-248	817.9	487
87	B6IXK7	FunGene	nifD	nifD	7.600000000000001e-248	817.8	481
88	Q9AJ61	FunGene	nifD	nifD	9.100000000000001e-248	817.6	476
89	D0EJC2	FunGene	nifD	nifD	9.800000000000001e-248	817.5	485
90	ETK00068.1|Eubacterium_nodatum_1	Zehr	nifH	nflH	1.1999999999999999e-247	823.2	778
91	B7JA98	FunGene	nifD	nifD	1.5e-247	816.8	475
92	C8SJQ3	FunGene	nifD	nifD	2.8e-247	815.9	488
93	C7DPA0	FunGene	nifD	nifD	2.8e-247	815.9	486
94	Q13N41	FunGene	nifD	nifD	3.5e-247	815.6	481
95	EGB93021.1|Clostridium_sp._1	Zehr	nifH	nflH	3.6e-247	821.7	734
96	D0EJD3	FunGene	nifD	nifD	3.8e-247	815.5	483
97	AEF84719.1|Treponema_primitia_1	Zehr	nifH	nflH	1.1e-246	820.0	729
98	C7DP61	FunGene	nifD	nifD	1.3000000000000002e-246	813.7	487
99	Q47G68	FunGene	nifD	nifD	1.3000000000000002e-246	813.8	477
100	A4TZV2	FunGene	nifD	nifD	1.8e-246	813.3	474
101	B2JYD2	FunGene	nifD	nifD	5.200000000000001e-246	811.7	480
102	D0EJB7	FunGene	nifD	nifD	5.200000000000001e-246	811.8	482
103	Q1M7Z3	FunGene	nifD	nifD	7.800000000000001e-246	811.2	483
104	Q55029	FunGene	nifD	nifD	9.800000000000001e-246	810.8	479
105	D0EJD2	FunGene	nifD	nifD	1.1e-245	810.6	485
106	B4AZA4	FunGene	nifD	nifD	1.7999999999999998e-245	810.0	479
107	P77874	FunGene	nifD	nifD	3.2999999999999997e-245	809.1	475
108	B3F2I8	FunGene	nifD	nifD	3.4999999999999998e-245	809.0	475
109	A4WRY4	FunGene	nifD	nifD	3.8e-245	808.9	490
110	A0L6W9	FunGene	nifD	nifD	8.1e-245	807.8	474
111	AEF80058.1|Treponema_azotonutricium_1	Zehr	nifH	nflH	1e-244	813.5	726
112	Q3J0H2	FunGene	nifD	nifD	1.1999999999999999e-244	807.3	490
113	P06769	FunGene	nifD	nifD	1.3999999999999999e-244	807.0	484
114	Q0GY15	FunGene	nifD	nifD	1.9e-244	806.6	488
115	B6A0Y7	FunGene	nifD	nifD	1.9e-244	806.6	487
116	A1Z1X8	FunGene	nifD	nifD	2.3e-244	806.3	483
117	A1Z1W0	FunGene	nifD	nifD	2.5e-244	806.2	483
118	Q2W6Z8	FunGene	nifD	nifD	3.4e-244	805.7	478
119	C4LAS6	FunGene	nifD	nifD	3.9e-244	805.6	475
120	B2AIZ6	FunGene	nifD	nifD	4.3e-244	805.4	489
121	B8ITG6	FunGene	nifD	nifD	4.4999999999999995e-244	805.3	494
122	C6B4Z1	FunGene	nifD	nifD	5.899999999999999e-244	805.0	482
123	Q44485	FunGene	nifD	nifD	6.8e-244	804.8	479
124	A1KYJ7	FunGene	nifD	nifD	1.4999999999999998e-243	803.6	475
125	Q2JTL8	FunGene	nifD	nifD	3.4e-243	802.4	478
126	B3F2J1	FunGene	nifD	nifD	5.1e-243	801.9	483
127	A5Y6I8	FunGene	nifD	nifD	5.399999999999999e-243	801.8	488
128	O07642	FunGene	nifD	nifD	6.699999999999999e-243	801.5	477
129	B8HWE4	FunGene	nifD	nifD	7.199999999999999e-243	801.4	481
130	Q7X5B4	FunGene	nifD	nifD	7.299999999999999e-243	801.4	486
131	A0YNZ6	FunGene	nifD	nifD	8.999999999999999e-243	801.1	483
132	Q7X5B2	FunGene	nifD	nifD	9.499999999999998e-243	801.0	486
133	Q8GPM4	FunGene	nifD	nifD	1.5e-242	800.3	489
134	B3F2J0	FunGene	nifD	nifD	1.5999999999999998e-242	800.2	479
135	B9YWG6	FunGene	nifD	nifD	2.5e-242	799.6	486
136	Q2JP77	FunGene	nifD	nifD	4.1999999999999995e-242	798.9	478
137	Q00239	FunGene	nifD	nifD	9.399999999999999e-242	797.7	483
138	Q4C2Y7	FunGene	nifD	nifD	1.5e-241	797.1	475
139	Q7X5B1	FunGene	nifD	nifD	1.7e-241	796.9	484
140	Q8GPM6	FunGene	nifD	nifD	2.3e-241	796.4	486
141	Q7WTA7	FunGene	nifD	nifD	5.2e-241	795.2	472
142	Q8GPM9	FunGene	nifD	nifD	5.3e-241	795.2	484
143	Q7X5B0	FunGene	nifD	nifD	6.3e-241	795.0	484
144	Q589A1	FunGene	nifD	nifD	6.5e-241	794.9	483
145	C8S0T3	FunGene	nifD	nifD	7.1e-241	794.8	486
146	C6C8T2	FunGene	nifD	nifD	9.9e-241	794.3	475
147	Q8KC89	FunGene	nifD	nifD	1.1e-240	794.2	530
148	O84929	FunGene	nifD	nifD	1.1e-240	794.2	479
149	B3F2J4	FunGene	nifD	nifD	1.2e-240	794.1	479
150	P00464	FunGene	nifD	nifD	2.8e-240	792.8	485
151	Q4PJU5	FunGene	nifD	nifD	3.6999999999999996e-240	792.4	484
152	Q8GPM5	FunGene	nifD	nifD	5.3e-240	791.9	486
153	A2V8A0	FunGene	nifD	nifD	1.3e-239	790.6	477
154	A1WTQ5	FunGene	nifD	nifD	1.5e-239	790.5	480
155	B3F2H8	FunGene	nifD	nifD	3.6e-239	789.1	477
156	Q44045	FunGene	nifD	nifD	4.9e-239	788.7	488
157	Q53UA0	FunGene	nifD	nifD	5.2e-239	788.6	474
