320	WP_109328314.1	Mise-T1	vnfH	3.5000000000000005e-180	594.2	291
321	WP_190682846.1	Mise-T2	vnfH	4.4e-180	592.3	287
322	WP_014239786.1	Mise-T2	vnfH	4.4e-180	592.3	291
324	WP_190591593.1	Mise-T2	vnfH	5.5e-180	592.0	287
325	WP_190982866.1	Mise-T2	vnfH	5.9e-180	591.9	287
326	WP_190966596.1	Mise-T2	vnfH	5.9e-180	591.9	287
328	WP_167723396.1	Mise-T2	vnfH	8.600000000000001e-180	591.3	288
330	WP_190539391.1	Mise-T2	vnfH	1.1e-179	591.0	286
331	WP_209768162.1	Mise-T1	vnfH	1.2e-179	592.5	291
332	WP_029011025.1	Mise-T1	vnfH	1.3e-179	592.3	290
333	WP_045868439.1	Mise-T2	vnfH	1.4e-179	590.6	285
334	WP_149166707.1	Mise-T1	vnfH	1.5e-179	592.1	291
335	WP_209872947.1	Mise-T1	vnfH	1.5e-179	592.2	291
336	WP_038528978.1	Mise-T1	vnfH	3e-179	591.2	291
337	WP_109117984.1	Mise-T1	vnfH	3.8e-179	590.8	290
338	WP_014430473.1	Mise-T1	vnfH	3.8e-179	590.8	290
339	WP_149468961.1	Mise-T1	vnfH	4.5e-179	590.6	291
340	WP_009857506.1	Mise-T1	vnfH	5.8e-179	590.2	290
341	WP_180285251.1	Mise-T1	vnfH	5.8e-179	590.2	291
342	WP_017314873.1	Mise-T1	vnfH	5.8999999999999996e-179	590.2	290
343	WP_094327394.1	Mise-T2	vnfH	8.2e-179	588.1	290
344	WP_109012212.1	Mise-T2	vnfH	8.5e-179	588.1	291
345	WP_190581391.1	Mise-T2	vnfH	1.1e-178	587.7	287
346	WP_138497161.1	Mise-T1	vnfH	1.1e-178	589.3	291
347	WP_096643608.1	Mise-T2	vnfH	1.1e-178	587.7	286
348	WP_096580546.1	Mise-T2	vnfH	1.2e-178	587.6	285
349	WP_100900502.1	Mise-T2	vnfH	1.3e-178	587.5	290
350	WP_096731754.1	Mise-T2	vnfH	1.3e-178	587.4	285
351	WP_214433605.1	Mise-T1	vnfH	1.3e-178	589.1	290
354	WP_190634695.1	Mise-T2	vnfH	1.5e-178	587.3	285
355	WP_190746162.1	Mise-T2	vnfH	1.5e-178	587.2	286
356	WP_085088510.1	Mise-T1	vnfH	1.6e-178	588.7	290
357	WP_113892793.1	Mise-T1	vnfH	1.6e-178	588.7	291
358	WP_185566649.1	Mise-T2	vnfH	1.7000000000000001e-178	587.0	285
359	WP_209979040.1	Mise-T1	vnfH	1.8e-178	588.6	290
360	WP_012407220.1	Mise-T1	vnfH	1.9e-178	588.5	290
361	WP_099067842.1	Mise-T2	vnfH	2e-178	586.8	286
362	WP_190954475.1	Mise-T2	vnfH	2e-178	586.8	285
363	WP_096542070.1	Mise-T2	vnfH	2.1e-178	586.8	281
364	WP_190730906.1	Mise-T1	vnfH	2.1e-178	588.3	290
365	WP_109068582.1	Mise-T1	vnfH	2.1e-178	588.4	291
366	WP_015210664.1	Mise-T1	vnfH	2.2e-178	588.3	290
367	WP_190939047.1	Mise-T1	vnfH	2.3e-178	588.3	290
368	WP_118163822.1	Mise-T2	vnfH	2.4e-178	586.6	290
370	WP_109154042.1	Mise-T1	vnfH	2.5e-178	588.1	290
371	WP_190918984.1	Mise-T1	vnfH	2.5e-178	588.1	290
372	WP_009060145.1	Mise-T1	vnfH	2.6e-178	588.0	289
