ZehrID	ZehrSeq	NFixDBID	NFixDBSeq	PercIdentity	AlnLength	Mismatches	GapOpens	QueryStart	QueryEnd	SeqStart	SeqEnd	EValue	Score
AAA22008.1|Nostoc_sp._1	nifH	JAHHHC010000005.1_41	vnfH	93	300	15	2	1	299	1	296	7.29e-185	1423
AAA22140.1|Azotobacter_chroococcum_1	nifH	NC_021149.1_128	vnfH	95	292	13	2	1	292	1	290	2.7e-181	1396
AAA22142.1|Azotobacter_vinelandii_1	nifH	NC_021149.1_128	vnfH	100	290	1	0	1	290	1	290	1.66e-191	1470
AAA22170.1|Azotobacter_vinelandii_1	nifH	NZ_FOFJ01000009.1_66	vnfH	97	290	10	0	1	290	1	290	5.34e-186	1430
AAA26140.1|Rhodobacter_capsulatus_1	nifH	NZ_BJZO01000086.1_9	vnfH	85	297	40	2	1	297	1	291	1.54e-165	1282
AAA26316.1|Rhizobium_sp._1	nifH	PLZT01000187.1_7	vnfH	89	297	33	1	1	296	1	297	1.05e-174	1349
AAA26329.1|Rhizobium_sp._1	nifH	CAINOE010000073.1_13	vnfH	89	299	30	1	1	296	1	299	3.1e-175	1353
AAA26463.1|Rhodospirillum_rubrum_1	nifH	NZ_JAAIYP010000011.1_68	vnfH	89	297	30	2	1	295	1	295	1.84e-174	1347
AAA27374.1|Acidithiobacillus_ferrooxidans_1	nifH	JAKAVW010000005.1_23	vnfH	85	299	34	3	1	298	1	290	7.55e-165	1277
AAA33884.1|Rhizobium_sp._1	nifH	PLZT01000187.1_7	vnfH	90	297	28	1	1	294	1	297	1.08e-175	1356
AAA77022.1|Trichodesmium_thiebautii_1	nifH	NZ_AJLK01000041.1_8	vnfH	79	298	56	3	1	294	1	295	3.14e-151	1178
AAA82508.1|Azotobacter_vinelandii_1	nifH	NC_021149.1_4512	anfH	97	275	8	0	1	275	1	275	8.27e-180	1385
AAA93020.1|Anabaena_variabilis_1	nifH	NZ_JACJRQ010000032.1_53	vnfH	83	297	49	1	1	296	1	297	7.13e-163	1263
AAB02342.1|Azospirillum_brasilense_1	nifH	NZ_CP022253.1_2290	vnfH	100	293	0	0	1	293	1	293	2.3e-193	1484
AAB09059.1|Desulfovibrio_gigas_1	nifH	DNPP01000068.1_28	vnfH	80	274	54	0	1	274	1	274	3.93e-151	1174
AAB36876.1|Frankia_sp._1	nifH	NC_021149.1_128	vnfH	77	290	63	2	1	287	1	290	1.78e-148	1157
AAB63257.1|Clostridium_cellobioparum_1	nifH	DBTU01000011.1_44	vnfH	82	272	48	2	1	270	1	272	1.84e-144	1125
AAB65801.1|Nostoc_sp._1	nifH	NZ_CP047242.1_426	vnfH	99	298	1	1	1	298	1	297	1.22e-194	1494
AAC18640.1|Frankia_sp._1	nifH	NZ_JACJRU010000003.1_292	vnfH	76	296	63	3	1	287	1	296	3.54e-147	1148
AAC24160.1|Frankia_sp._1	nifH	NZ_CP040272.1_833	vnfH	53	293	31	3	1	185	1	293	3.18e-83	673
AAC45588.1|Anabaena_variabilis_1	nifH	JAHHHC010000005.1_41	vnfH	96	296	12	1	1	295	1	296	3.53e-189	1454
AAC64641.1|Fischerella_sp._1	nifH	NZ_JABXYX010000032.1_33	vnfH	81	322	46	2	1	307	1	322	7.14e-171	1324
AAC64642.1|Fischerella_sp._1	nifH	NZ_AJLK01000041.1_8	vnfH	100	295	0	0	1	295	1	295	3.28e-196	1505
AAF17302.2|Vibrio_diazotrophicus_1	nifH	DIDB01000228.1_21	vnfH	74	293	11	1	1	229	1	293	2e-134	1050
AAF60982.1|nitrogen-fixing_bacterium_1	nifH	PMBV01000232.1_5	vnfH	53	226	19	2	1	138	1	226	2.78e-64	526
AAF61019.1|unidentified_nitrogen-fixing_1	nifH	PMBV01000232.1_5	vnfH	54	226	17	2	1	138	1	226	4.27e-62	510
AAF61020.1|unidentified_nitrogen-fixing_1	nifH	PMBV01000232.1_5	vnfH	54	226	17	2	1	138	1	226	1.1e-61	507
AAF61402.2|Vibrio_cincinnatiensis_1	nifH	NC_021149.1_128	vnfH	72	290	21	1	1	229	1	290	1.51e-128	1007
AAG35586.1|Azoarcus_sp._1	nifH	JAGTRU010000002.1_131	vnfH	88	297	33	1	1	297	1	294	1.27e-173	1341
AAG60754.1|Bradyrhizobium_japonicum_1	nifH	PQAN01000100.1_14	vnfH	89	294	29	1	1	294	1	292	3.41e-175	1352
AAK06563.1|uncultured_temperate_1	nifH	PMBV01000232.1_5	vnfH	54	226	10	2	1	132	1	226	6.07e-64	523
AAK06564.1|uncultured_temperate_1	nifH	PMBV01000232.1_5	vnfH	50	226	18	2	1	132	1	226	5.03e-59	487
AAK26105.1|unidentified_bacterium_1	nifH	NZ_LGQZ01000027.1_123	vnfH	92	301	24	1	1	300	1	301	4.4e-181	1396
AAK65107.1|Sinorhizobium_meliloti_1	nifH	CAJATU010000063.1_25	vnfH	89	298	31	1	1	297	1	298	2.86e-174	1346
AAK78234.1|Clostridium_acetobutylicum_1	nifH	NZ_BAEV01000114.1_9	vnfH	85	272	40	0	1	272	1	272	3.97e-156	1210
AAK91171.1|uncultured_bacterium_1	nifH	PMBV01000232.1_5	vnfH	50	226	24	2	1	138	1	226	8.02e-62	508
