	GenomeID	NCBI_TaxID	GTDB_Tax	NCBI_Tax	nifH	nifD	nifK	vnfD	vnfH	vnfK	anfD	anfH	anfK	nflD	nflH	ChlN	ChIl	ChlB
0	RS_GCF_000016125.1	402880	d__Archaea;p__Methanobacteriota_A;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis_D	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis;x__Methanococcus maripaludis C5	NC_009135.1_1041	NC_009135.1_672	NC_009135.1_673							NC_009135.1_1241	NC_009135.1_1571			
1	GB_GCA_013388565.1	2268180	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__JACAEZ01;g__JACAEZ01;s__JACAEZ01 sp013388565	d__Bacteria;p__Proteobacteria;x__delta/epsilon subdivisions;c__Epsilonproteobacteria;o__Campylobacterales;x__unclassified Campylobacterales;s__Campylobacterales bacterium	JACAEZ010000208.1_6	JACAEZ010000009.1_8	JACAEZ010000009.1_6											
2	GB_GCA_900753095.1	1972561	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__CAG-1427 sp900753095	d__Bacteria;x__Terrabacteria group;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;x__unclassified Eggerthellaceae;s__Eggerthellaceae bacterium	CAADXT010000087.1_4	CAADXT010000148.1_4	CAADXT010000148.1_5											
3	RS_GCF_000018485.1	444158	d__Archaea;p__Methanobacteriota_A;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis_C	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis;x__Methanococcus maripaludis C6	NC_009975.1_310	NC_009975.1_1821	NC_009975.1_1820							NC_009975.1_497	NC_009975.1_824			
4	RS_GCF_006265165.1	115852	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum thiosulfatiphilum	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum thiosulfatiphilum	NZ_VDCH01000012.1_37	NZ_VDCH01000015.1_12	NZ_VDCH01000015.1_13									NZ_VDCH01000023.1_3	NZ_VDCH01000023.1_1	NZ_VDCH01000023.1_2
5	RS_GCF_000308215.1	1080712	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Methanomassiliicoccus luminyensis	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Methanomassiliicoccus luminyensis	NZ_CAJE01000011.1_48	NZ_CAJE01000024.1_42	NZ_CAJE01000024.1_43				NZ_CAJE01000013.1_248	NZ_CAJE01000013.1_252	NZ_CAJE01000013.1_246	NZ_CAJE01000012.1_41	NZ_CAJE01000020.1_9			
6	GB_GCA_903901395.1	904064	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum sp903901395	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;x__environmental samples;s__uncultured Chlorobiales bacterium	CAIUQW010000178.1_17	CAIUQW010000260.1_5	CAIUQW010000260.1_4											
7	GB_GCA_016931495.1	2067991	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum sp016931495	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__unclassified Chlorobiaceae;s__Chlorobiaceae bacterium	JAFGER010000001.1_20	JAFGER010000034.1_2	JAFGER010000034.1_1											
8	RS_GCF_001747405.1	274537	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum limnaeum	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum limnaeum	NZ_CP017305.1_1994	NZ_CP017305.1_616	NZ_CP017305.1_615									NZ_CP017305.1_2391	NZ_CP017305.1_2389	NZ_CP017305.1_2390
9	GB_GCA_900556935.1	172733	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900556935	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;x__environmental samples;s__uncultured Eubacteriales bacterium	USQL01000060.1_10	USQL01000006.1_7	USQL01000006.1_8											
10	GB_GCA_903882665.1	243904	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp903882665	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__environmental samples;s__uncultured Chlorobiaceae bacterium	CAIRXW010000023.1_85	CAIRXW010000011.1_13	CAIRXW010000011.1_12									CAIRXW010000013.1_26	CAIRXW010000013.1_24	CAIRXW010000013.1_25
11	GB_GCA_903929845.1	243904	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp903929845	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;x__environmental samples;s__uncultured Chlorobiaceae bacterium	CAIYWF010000221.1_1	CAIYWF010000191.1_1	CAIYWF010000191.1_2									CAIYWF010000096.1_3	CAIYWF010000320.1_4	CAIYWF010000320.1_5
12	GB_GCA_016200345.1	2026769	d__Bacteria;p__Nitrospinota;c__UBA7883;o__JACRGQ01;f__JACRGQ01;g__JACQEX01;s__JACQEX01 sp016200345	d__Bacteria;x__Nitrospinae/Tectomicrobia group;p__Nitrospinae;x__unclassified Nitrospinae;s__Nitrospinae bacterium	JACQEX010000020.1_30	JACQEX010000062.1_8	JACQEX010000062.1_9											
13	GB_GCA_002411365.1	1952336	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Caproicibacter;s__Caproicibacter sp002411365	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;x__unclassified Oscillospiraceae;s__Ruminococcaceae bacterium UBA4832	DHSD01000027.1_69	DHSD01000028.1_41	DHSD01000022.1_54											
