	Database	OrgGene	Gene	SeqID	EValue	Bitscore	AlnLength
7621	FunGene	vnfD	vnfD	EXJ15821;size=1;/1-460	0.0	1023.0	460
7613	FunGene	vnfD	vnfD	SFX09986;size=5;/1-460	0.0	1050.3	460
7614	FunGene	vnfD	vnfD	SFL38789;size=2;/1-460	0.0	1047.2	460
7615	FunGene	vnfD	vnfD	CAE26821;size=1;/1-460	0.0	1046.0	460
7616	FunGene	vnfD	vnfD	CAA36058;size=1;/1-460	0.0	1044.5	460
7617	FunGene	vnfD	vnfD	OIQ93815;size=1;/1-460	0.0	1042.2	460
7618	FunGene	vnfD	vnfD	SEH51093;size=1;/1-460	0.0	1042.0	460
7619	FunGene	vnfD	vnfD	CCD03004;size=1;/1-460	0.0	1039.5	460
7620	FunGene	vnfD	vnfD	ADP69796;size=1;/1-460	0.0	1028.4	460
7622	FunGene	vnfD	vnfD	OBQ03851;size=4;/1-460	6.2e-306	1005.1	460
7623	FunGene	vnfD	vnfD	EKE99886;size=1;/1-460	4.2e-305	1002.3	460
7624	FunGene	vnfD	vnfD	EKF04224;size=1;/1-460	7.2e-305	1001.6	460
7625	FunGene	vnfD	vnfD	AHA37825;size=1;/1-460	2.2e-302	993.4	460
7626	FunGene	vnfD	vnfD	AHA37824;size=1;/1-460	4.2e-301	989.2	460
7627	FunGene	vnfD	vnfD	AKG34370;size=1;/1-460	5.2e-300	985.5	460
7628	FunGene	vnfD	vnfD	EKQ52376;size=1;/1-460	1.3e-287	944.7	459
7629	FunGene	vnfD	vnfD	BAH06671;size=2;/1-460	1.4e-286	941.2	460
7630	FunGene	vnfD	vnfD	AKB51721;size=2;/1-460	2.4e-286	940.5	460
7632	FunGene	vnfD	vnfD	OMH20013;size=6;/1-460	3.7e-285	936.6	460
7631	FunGene	vnfD	vnfD	AKB48005;size=2;/1-460	3.7e-285	936.6	460
7633	FunGene	vnfD	vnfD	AAF72180;size=1;/1-460	4.2e-285	936.4	460
7634	FunGene	vnfD	vnfD	AKB81589;size=1;/1-460	7e-285	935.7	460
7635	FunGene	vnfD	vnfD	AAM04635;size=1;/1-460	2.8e-284	933.7	460
22956	Zehr	nifH	nflH	ETA66931.1|Methanolobus_tindarius_1	4.1e-284	943.8	736
7636	FunGene	vnfD	vnfD	AGK98263;size=1;/1-460	7.2e-283	929.0	460
7637	FunGene	vnfD	vnfD	ADU27824;size=1;/1-460	5.7e-280	919.5	460
22957	Zehr	nifH	nflH	AGN26065.1|Candidatus_Methanomassiliicoccus_1	6.6e-277	920.0	720
22958	Zehr	nifH	nflH	AAM05435.1|Methanosarcina_acetivorans_1	3.6e-276	917.5	751
22959	Zehr	nifH	nflH	ADN36985.1|Methanoplanus_petrolearius_1	3.1e-275	914.5	751
22960	Zehr	nifH	nflH	AGI85899.1|Candidatus_Methanomethylophilus_1	6.3e-262	870.4	717
22961	Zehr	nifH	nflH	CDF30912.1|Methanoculleus_sp._1	3.7e-261	867.9	717
22962	Zehr	nifH	nflH	AAZ71607.1|Methanosarcina_barkeri_1	1.4e-260	866.0	741
5833	FunGene	nifD	nifD	A7IBF5	1e-254	840.6	486
5834	FunGene	nifD	nifD	Q60C80	2.7e-254	839.1	480
5835	FunGene	nifD	nifD	A5ENX1	4.8e-254	838.3	489
5836	FunGene	nifD	nifD	A4VJ71	1.1e-253	837.1	489
22963	Zehr	nifH	nflH	EHP07423.1|Holophaga_foetida_1	1.1e-253	843.2	726
22964	Zehr	nifH	nflH	ACN13985.1|Desulfobacterium_autotrophicum_1	1e-252	840.0	746
5837	FunGene	nifD	nifD	A8HQJ1	1.3e-252	833.5	488
22965	Zehr	nifH	nflH	ZP_09716922.1|Treponema_primitia_1	2e-252	839.1	720
5838	FunGene	nifD	nifD	B8EJ24	5.2e-252	831.6	475
5839	FunGene	nifD	nifD	A4JRN8	6.6e-252	831.2	480
5840	FunGene	nifD	nifD	C6P5Y2	7.6e-252	831.0	482
5841	FunGene	nifD	nifD	A1VPS3	8.2e-252	830.9	480
5842	FunGene	nifD	nifD	C5S6M4	8.5e-252	830.9	477
5843	FunGene	nifD	nifD	C7DPA6	4.2e-251	828.6	483
5844	FunGene	nifD	nifD	C5BTB1	4.9e-251	828.4	491
5845	FunGene	nifD	nifD	P06121	5e-251	828.3	487
5846	FunGene	nifD	nifD	D0EJA7	1e-250	827.3	487
5847	FunGene	nifD	nifD	A1K2V1	2e-250	826.4	480
5848	FunGene	nifD	nifD	P06120	2.9e-250	825.8	484
5849	FunGene	nifD	nifD	C7RRG5	3.2e-250	825.7	483
5850	FunGene	nifD	nifD	C6HVB1	3.2e-250	825.7	479
5851	FunGene	nifD	nifD	B3DXX6	3.2e-250	825.7	480
5852	FunGene	nifD	nifD	A9H5W5	3.3e-250	825.6	487
5853	FunGene	nifD	nifD	Q6N0Z0	3.5e-250	825.5	478
5854	FunGene	nifD	nifD	Q4VUB6	8.3e-250	824.3	487
5855	FunGene	nifD	nifD	C7DP64	9.8e-250	824.1	482
5856	FunGene	nifD	nifD	D0EJB0	1.1e-249	823.9	483
5857	FunGene	nifD	nifD	C7DPA3	1.5e-249	823.4	488
5859	FunGene	nifD	nifD	C7DP73	2.2e-249	822.9	483
5858	FunGene	nifD	nifD	D0EJB1	2.2e-249	822.9	483
5860	FunGene	nifD	nifD	D0EJC0	2.3e-249	822.8	483
5861	FunGene	nifD	nifD	Q20Y01	2.5e-249	822.7	490
5862	FunGene	nifD	nifD	Q2RVN3	2.8e-249	822.6	476
5863	FunGene	nifD	nifD	Q8KIN7	3.3e-249	822.3	488
5864	FunGene	nifD	nifD	Q07HY2	3.7e-249	822.2	478
5865	FunGene	nifD	nifD	C7DP88	4.4e-249	821.9	486
22966	Zehr	nifH	nflH	BAE85651.1|Desulfitobacterium_hafniense_1	4.6e-249	827.9	734
5866	FunGene	nifD	nifD	Q4VUC0	4.9e-249	821.7	487
5867	FunGene	nifD	nifD	C7DP58	5.8e-249	821.5	488
5868	FunGene	nifD	nifD	Q2J1I0	6.2e-249	821.4	478
5869	FunGene	nifD	nifD	B1Y772	6.5e-249	821.3	479
5870	FunGene	nifD	nifD	C7DP94	8.2e-249	821.0	486
5871	FunGene	nifD	nifD	Q7X1F7	8.9e-249	820.9	479
5872	FunGene	nifD	nifD	C7DP82	9.2e-249	820.8	490
5873	FunGene	nifD	nifD	B0UAK3	1e-248	820.7	488
5874	FunGene	nifD	nifD	B2IET3	1.6e-248	820.0	478
5877	FunGene	nifD	nifD	D0EJC5	2.6e-248	819.3	483
5876	FunGene	nifD	nifD	Q8KJ97	2.6e-248	819.4	487
5875	FunGene	nifD	nifD	D0EJC3	2.6e-248	819.4	482
5878	FunGene	nifD	nifD	P19066	4.1e-248	818.7	490
5879	FunGene	nifD	nifD	C7DP85	4.9e-248	818.5	486
