	Database	OrgGene	Gene	SeqID	EValue	Bitscore	AlnLength
10238	FunGene	vnfD	vnfD	OIQ93815;size=1;/1-460	0.0	1042.2	460
10243	FunGene	vnfD	vnfD	CAA33173;size=1;/1-459	0.0	1022.9	460
10242	FunGene	vnfD	vnfD	EXJ15821;size=1;/1-460	0.0	1023.0	460
10241	FunGene	vnfD	vnfD	ADP69796;size=1;/1-460	0.0	1028.4	460
10240	FunGene	vnfD	vnfD	CCD03004;size=1;/1-460	0.0	1039.5	460
10239	FunGene	vnfD	vnfD	SEH51093;size=1;/1-460	0.0	1042.0	460
10237	FunGene	vnfD	vnfD	EPY02865;size=1;/1-460	0.0	1042.4	460
10236	FunGene	vnfD	vnfD	CAA36058;size=1;/1-460	0.0	1044.5	460
10235	FunGene	vnfD	vnfD	CAE26821;size=1;/1-460	0.0	1046.0	460
10234	FunGene	vnfD	vnfD	SFL38789;size=2;/1-460	0.0	1047.2	460
10233	FunGene	vnfD	vnfD	OHC12061;size=2;/1-460	0.0	1047.6	460
10231	FunGene	vnfD	vnfD	SFX09986;size=5;/1-460	0.0	1050.3	460
10232	FunGene	vnfD	vnfD	SEQ30981;size=3;/1-460	0.0	1047.7	460
10244	FunGene	vnfD	vnfD	OBQ03851;size=4;/1-460	7.9e-306	1005.1	460
10245	FunGene	vnfD	vnfD	EKE99886;size=1;/1-460	5.4e-305	1002.3	460
10246	FunGene	vnfD	vnfD	EKF04224;size=1;/1-460	9.3e-305	1001.6	460
10247	FunGene	vnfD	vnfD	AHA37825;size=1;/1-460	2.8e-302	993.4	460
10248	FunGene	vnfD	vnfD	AHA37824;size=1;/1-460	5.3e-301	989.2	460
10249	FunGene	vnfD	vnfD	AIQ12504;size=1;/1-460	5.8e-301	989.0	460
10250	FunGene	vnfD	vnfD	AKG34370;size=1;/1-460	6.7e-300	985.5	460
10251	FunGene	vnfD	vnfD	EKQ52376;size=1;/1-460	1.6e-287	944.7	459
10252	FunGene	vnfD	vnfD	BAH06671;size=2;/1-460	1.8e-286	941.2	460
10253	FunGene	vnfD	vnfD	AKB51721;size=2;/1-460	3.1e-286	940.5	460
10254	FunGene	vnfD	vnfD	OED02931;size=3;/1-460	1.2e-285	938.5	460
10255	FunGene	vnfD	vnfD	AKJ38129;size=1;/1-460	1.6e-285	938.1	460
10257	FunGene	vnfD	vnfD	OMH20013;size=6;/1-460	4.7e-285	936.6	460
10256	FunGene	vnfD	vnfD	AKB48005;size=2;/1-460	4.7e-285	936.6	460
10258	FunGene	vnfD	vnfD	AAF72180;size=1;/1-460	5.4e-285	936.4	460
10259	FunGene	vnfD	vnfD	AKB81589;size=1;/1-460	8.9e-285	935.7	460
