	GenomeID	nifH	nifD	nifK	vnfH	vnfD	vnfK	anfH	anfD	anfK	nflD	nflH	ChlN	ChIl	ChlB
0	GB_GCA_000010645.1	AP010659.1_7	AP010656.1_640	AP010656.1_641											
1	GB_GCA_000017645.1	CP000781.1_1852	CP000781.1_91	CP000781.1_92											
2	GB_GCA_000018545.1	CP001389.1_3285	U00090.2_93	U00090.2_92											
3	GB_GCA_000155695.1	DS990592.1_251	DS990592.1_4257	DS990592.1_4256											
4	GB_GCA_000174895.1	ACOK01000105.1_54	ACOK01000117.1_118	ACOK01000117.1_119											
5	GB_GCA_000179315.1	ADZZ01000443.1_4	ADZZ01000138.1_18	ADZZ01000138.1_19											
6	GB_GCA_000209815.1	FP929036.1_2895	FP929036.1_1112	FP929036.1_1114											
7	GB_GCA_000214705.1	CP002770.1_3549	CP002770.1_3329	CP002770.1_3328									CP002770.1_2198	CP002770.1_418	CP002770.1_2197
8	GB_GCA_000242935.3	CP007053.1_301	CP007053.1_199	CP007053.1_200				CP007053.1_259	CP007053.1_260	CP007053.1_262					
9	GB_GCA_000244995.1	CM001438.1_50	CM001438.1_1009	CM001438.1_1008											
10	GB_GCA_000306725.1	CP003083.1_160	CP003083.1_1275	CP003083.1_1276							CP003083.1_904	CP003083.1_903			
11	GB_GCA_000307955.1	ALAO01000133.1_17	ALAO01000123.1_4	ALAO01000123.1_5				ALAO01000189.1_15	ALAO01000189.1_12	ALAO01000189.1_10					
12	GB_GCA_000309865.1	AMGN01000028.1_14	AMGN01000049.1_9	AMGN01000049.1_6							AMGN01000019.1_11	AMGN01000004.1_19			
13	GB_GCA_000309945.1	CM001633.1_531	CM001633.1_4872	CM001633.1_4873									CM001633.1_3378	CM001633.1_3376	CM001633.1_2459
14	GB_GCA_000310245.1	CP003920.1_1676	CP003920.1_1315	CP003920.1_1314											
15	GB_GCA_000332255.1	KB235926.1_3192	KB235926.1_1287	KB235926.1_1286									KB235926.1_1259	KB235926.1_1257	KB235926.1_982
16	GB_GCA_000380225.1	KB904821.1_1822	KB904821.1_2326	KB904821.1_2325									KB904821.1_2183	KB904821.1_2181	KB904821.1_596
17	GB_GCA_000383295.1	KB911079.1_19	KB911066.1_378	KB911066.1_379									KB911067.1_17	KB911078.1_51	KB911067.1_18
18	GB_GCA_000403255.2	KE159571.1_324	KE159582.1_176	KE159582.1_177											
19	GB_GCA_000410515.1	CP005991.1_2630	CP005991.1_514	CP005991.1_515											
